date,id_str,user_name,text,time,latitude,longitude
2018-05-05,300577694.0,DallasUncorked,felt earthquakes ok cogills safe blue,00:44:00,19.932000000000002,-155.865
2018-05-05,1347680600.0,alyssa_hamlet,kilauea erupting thought share pic family trip,01:07:46,19.61838,-155.98554
2018-05-05,38292757.0,kuhao,oldestenergynewestcreation quick huaka ’ lua pele last night,01:28:20,19.41,-155.286
2018-05-05,11275422.0,whistlerdev,earthquakes amp volcanoes pair well sauvignon blanc puak,01:34:12,19.82831695,-155.99254681
2018-05-05,21219253.0,iamdougevans,goddess rising ❤ ️ honour respect goddess pele rising,04:11:06,19.65,-155.994
2018-05-05,1947483542.0,AlainaFuata,“ pele honua mea pele sacred land pele ‘ ai honua pele,04:29:08,19.4735,-154.92
2018-05-05,212574398.0,tri_connelly,udon hilo hi earthquakes lava flows,05:14:02,19.7055,-155.086
2018-05-05,38407134.0,dansimontv,live kilauea courtesy friend lisa hawaiian island,17:40:33,19.64188,-155.99315
2018-05-05,54222784.0,StephanieElam,interviewing evacuee near leilaniestates ash started,22:47:29,19.4735,-154.92
2018-05-05,68403019.0,telizs3,“ every act creation first act destruction ” picasso,22:51:28,19.99806,-155.81602
2018-05-06,50999894.0,Magphotoguy,latest update kilauea volcano national park service,00:02:14,19.39923,-155.287
2018-05-06,76147467.0,sunflwer1975,’ still way danger zone hawaiivolcano punalava ’ blue,01:21:26,19.5113057,-154.8357826
2018-05-06,494811197.0,MugenIsTheName,lava flow eruption looks like happening right far ’ hearing two hous,04:22:00,19.67352918,-155.08122929
2018-05-06,1575202140.0,AirHawaiiNet,キラウエア火山の噴火 🌋 近隣の方々は大丈夫かな … 大自然と共存してる以上 、 仕方のないことだけれども 、 、 心配ですね 😔 場所 volcano national,06:18:52,19.61838,-155.98554
2018-05-06,65224267.0,firebladepilot_,crazy video lava flow today middle housing area big,09:00:49,19.4735,-154.92
2018-05-06,25859302.0,sdbrady,wasatch labs added nu skins arsenal assets keep,14:21:51,19.924032699999998,-155.88749886
2018-05-06,23015011.0,ekgeee,get wake 🏝 hapuna beach,15:57:16,19.99474937,-155.82442103
2018-05-06,15015361.0,laukevin,praying safety residents around kīlauea 🙏 🏻 safe hawai,16:48:57,19.39923,-155.287
2018-05-06,193134984.0,lopezJ808,’ glad family safe big island 🔥 🌋 mother nature force,17:27:02,19.56666667,-155.5
2018-05-07,13335.0,BillAdams,edge halema uma u crater kalaimoku advisor king makes,00:43:31,19.41,-155.286
2018-05-07,84197296.0,soniafarooq,thank god kilauea waited us leave exploded 🌋,02:54:55,19.420557100000003,-155.2891501
2018-05-07,14837934.0,richienorton,pray big island 🙏 🔥 🤙 🏾 hawaii volcano volcanonationalpark big,06:43:29,19.99806,-155.81602
2018-05-07,1714726381.0,itsnotben,hawaii round black sands beach giant turtles scenic coastal drives,18:04:51,19.431649,-155.21687
2018-05-07,2479878103.0,BrigetteNamata,😳 residents leilani estates seeing county officials,20:12:55,19.4735,-154.92
2018-05-08,713090676.0,DeniseLaitinen,pahoa community center update leilani lava,03:59:03,19.500999999999998,-154.953
2018-05-08,66797474.0,k4silva,may heard last week hawaii kilauea volcano,04:09:42,19.6211,-155.042
2018-05-08,14501644.0,mattical69,pele ’ sake somebody ’ saved droid 🙁 🤖 🌋,05:38:48,19.64188,-155.99315
2018-05-08,347021304.0,MorganVicJo,leave nothing footprints 👣 kill nothing time ☀ ️ 🌊 explore,07:11:29,19.90911245,-155.89905314
2018-05-08,45979358.0,DandyLyon74,felt blessed one last cars get,08:16:23,19.4735,-154.92
2018-05-08,1962183522.0,picture_happy,current volcanic activity big island hawai ’ got,16:19:41,19.39923,-155.287
2018-05-08,9.673541531975598e+17,_krishnajindal,😱 🌋 one biggest active volcanoes hawaii sitting,18:02:04,19.64188,-155.99315
2018-05-08,9.491287354998088e+17,aikudeesh,praying woody 😓 🙏 🏼 🙏 🏼 🙏 🏼 leilani hawaii kilauea,20:33:25,19.4735,-154.92
2018-05-09,35857129.0,johnendriss,got briefly serve red cross eruption shelter today,04:20:35,19.500999999999998,-154.953
2018-05-09,1704004980.0,GeneLamkin,red road tree tunnel hawaii bigisland kalapana hawai,04:23:28,19.3542,-154.97899999999996
2018-05-09,122307661.0,IlhamAbbas,visited kilauea volcano air showing active,06:17:20,19.56483906,-155.96510866
2018-05-09,17478560.0,LukeEclipse,inspired leave comment,08:56:19,19.72155086,-155.09616342
2018-05-09,43163920.0,GevaNeva,island hawai volcano updateofficial statement current,14:00:11,19.49378056,-155.00968889
2018-05-09,79450692.0,LaSardineCan,posted photo hawaii volcanoes national par,14:16:38,19.42918452,-155.25757285
2018-05-20,1058710904.0,E2EJobs,see latest hi job click apply customer service associate oblsagtgu customerser,14:15:10,19.6399924,-155.9969052
2018-05-20,242797446.0,erivaldoff,favorite breakfast place kona hawaiian style cafe waimea style hawaii waimea hi,19:08:21,20.02245278,-155.67482757
2018-05-20,15595248.0,rolodj,island lava java bistro amp grill lavajavahawaii kailua kona h,22:09:15,19.63532716,-155.99023643
2018-05-23,33142966.0,FOX40,man defending hawaii home volcano hit flaming lava bom,14:34:58,19.497503,-154.95081000000005
2018-05-24,19560314.0,rockyrooo,much yummm drinking hanalei island ipa konabrewingco rays bay,08:02:36,19.5592,-155.966
2018-05-25,216485533.0,CDRP_FSU,cdrp spent week hawaii working volcano crasar crasar lots good lessons learned proud r,01:55:48,19.47620833,-154.89601167
2018-05-26,280333104.0,espejomx,tititis creo que es más importa,03:28:36,19.687487,-155.073662
